,Country,05-12-2017,23-01-2018,13-03-2018,25-05-2018,02-10-2018,06-11-2018,12-03-2019,17-05-2019,14-06-2019,10-10-2019,08-11-2019,18-02-2020,06-10-2020,22-02-2021,05-10-2021,24-02-2022,04-10-2022,14-02-2023,17-10-2023,20-02-2024,08-10-2024
0,American Samoa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
4,Bahamas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
6,Barbados,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Belize,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
12,Dominica,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13,Fiji,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,Guam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,Namibia,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oman,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
31,Trinidad and Tobago,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
